GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
10605-94;Gajka M 140x6.0.06 GOST 10605-94;M 140x6.0;06;;;140.0;6.0
10605-94;Gajka M 140x6.0.06.019 GOST 10605-94;M 140x6.0;06;019;;140.0;6.0
10605-94;Gajka M 140x6.0.06.029 GOST 10605-94;M 140x6.0;06;029;;140.0;6.0
10605-94;Gajka M 140x6.0.06.019.01 GOST 10605-94;M 140x6.0;06;019.01;;140.0;6.0
10605-94;Gajka M 140x6.0.06.016 GOST 10605-94;M 140x6.0;06;016;;140.0;6.0
10605-94;Gajka M 140x6.0.06.019.06 GOST 10605-94;M 140x6.0;06;019.06;;140.0;6.0
10605-94;Gajka M 140x6.0.07 GOST 10605-94;M 140x6.0;07;;;140.0;6.0
10605-94;Gajka M 140x6.0.07.019 GOST 10605-94;M 140x6.0;07;019;;140.0;6.0
10605-94;Gajka M 140x6.0.07.029 GOST 10605-94;M 140x6.0;07;029;;140.0;6.0
10605-94;Gajka M 140x6.0.07.019.01 GOST 10605-94;M 140x6.0;07;019.01;;140.0;6.0
10605-94;Gajka M 140x6.0.07.016 GOST 10605-94;M 140x6.0;07;016;;140.0;6.0
10605-94;Gajka M 140x6.0.07.019.06 GOST 10605-94;M 140x6.0;07;019.06;;140.0;6.0
10605-94;Gajka M 140x6.0.11.12X18H10T GOST 10605-94;M 140x6.0;11;;12X18H10T;140.0;6.0
10605-94;Gajka M 140x6.0.21.12X18H9T GOST 10605-94;M 140x6.0;21;;12X18H9T;140.0;6.0
10605-94;Gajka M 140x6.0.21.12X18H10T GOST 10605-94;M 140x6.0;21;;12X18H10T;140.0;6.0
10605-94;Gajka M 140x6.0.23.08X18H10T GOST 10605-94;M 140x6.0;23;;08X18H10T;140.0;6.0
10605-94;Gajka M 140x6.0.25.10X17H13M2T GOST 10605-94;M 140x6.0;25;;10X17H13M2T;140.0;6.0
10605-94;Gajka M 150x4.0.02 GOST 10605-94;M 150x4.0;02;;;150.0;4.0
10605-94;Gajka M 150x4.0.02.019 GOST 10605-94;M 150x4.0;02;019;;150.0;4.0
10605-94;Gajka M 150x4.0.02.029 GOST 10605-94;M 150x4.0;02;029;;150.0;4.0
10605-94;Gajka M 150x4.0.02.019.01 GOST 10605-94;M 150x4.0;02;019.01;;150.0;4.0
10605-94;Gajka M 150x4.0.02.016 GOST 10605-94;M 150x4.0;02;016;;150.0;4.0
10605-94;Gajka M 150x4.0.02.019.06 GOST 10605-94;M 150x4.0;02;019.06;;150.0;4.0
10605-94;Gajka M 150x4.0.04 GOST 10605-94;M 150x4.0;04;;;150.0;4.0
10605-94;Gajka M 150x4.0.04.019 GOST 10605-94;M 150x4.0;04;019;;150.0;4.0
10605-94;Gajka M 150x4.0.04.029 GOST 10605-94;M 150x4.0;04;029;;150.0;4.0
10605-94;Gajka M 150x4.0.04.019.01 GOST 10605-94;M 150x4.0;04;019.01;;150.0;4.0
10605-94;Gajka M 150x4.0.04.016 GOST 10605-94;M 150x4.0;04;016;;150.0;4.0
10605-94;Gajka M 150x4.0.04.019.06 GOST 10605-94;M 150x4.0;04;019.06;;150.0;4.0
10605-94;Gajka M 150x4.0.05 GOST 10605-94;M 150x4.0;05;;;150.0;4.0
10605-94;Gajka M 150x4.0.05.019 GOST 10605-94;M 150x4.0;05;019;;150.0;4.0
10605-94;Gajka M 150x4.0.05.029 GOST 10605-94;M 150x4.0;05;029;;150.0;4.0
10605-94;Gajka M 150x4.0.05.019.01 GOST 10605-94;M 150x4.0;05;019.01;;150.0;4.0
10605-94;Gajka M 150x4.0.05.016 GOST 10605-94;M 150x4.0;05;016;;150.0;4.0
10605-94;Gajka M 150x4.0.05.019.06 GOST 10605-94;M 150x4.0;05;019.06;;150.0;4.0
10605-94;Gajka M 150x4.0.06 GOST 10605-94;M 150x4.0;06;;;150.0;4.0
10605-94;Gajka M 150x4.0.06.019 GOST 10605-94;M 150x4.0;06;019;;150.0;4.0
10605-94;Gajka M 150x4.0.06.029 GOST 10605-94;M 150x4.0;06;029;;150.0;4.0
10605-94;Gajka M 150x4.0.06.019.01 GOST 10605-94;M 150x4.0;06;019.01;;150.0;4.0
10605-94;Gajka M 150x4.0.06.016 GOST 10605-94;M 150x4.0;06;016;;150.0;4.0
10605-94;Gajka M 150x4.0.06.019.06 GOST 10605-94;M 150x4.0;06;019.06;;150.0;4.0
10605-94;Gajka M 150x4.0.07 GOST 10605-94;M 150x4.0;07;;;150.0;4.0
10605-94;Gajka M 150x4.0.07.019 GOST 10605-94;M 150x4.0;07;019;;150.0;4.0
10605-94;Gajka M 150x4.0.07.029 GOST 10605-94;M 150x4.0;07;029;;150.0;4.0
10605-94;Gajka M 150x4.0.07.019.01 GOST 10605-94;M 150x4.0;07;019.01;;150.0;4.0
10605-94;Gajka M 150x4.0.07.016 GOST 10605-94;M 150x4.0;07;016;;150.0;4.0
10605-94;Gajka M 150x4.0.07.019.06 GOST 10605-94;M 150x4.0;07;019.06;;150.0;4.0
10605-94;Gajka M 150x4.0.11.12X18H10T GOST 10605-94;M 150x4.0;11;;12X18H10T;150.0;4.0
10605-94;Gajka M 150x4.0.21.12X18H9T GOST 10605-94;M 150x4.0;21;;12X18H9T;150.0;4.0
10605-94;Gajka M 150x4.0.21.12X18H10T GOST 10605-94;M 150x4.0;21;;12X18H10T;150.0;4.0
10605-94;Gajka M 150x4.0.23.08X18H10T GOST 10605-94;M 150x4.0;23;;08X18H10T;150.0;4.0
10605-94;Gajka M 150x4.0.25.10X17H13M2T GOST 10605-94;M 150x4.0;25;;10X17H13M2T;150.0;4.0
10605-94;Gajka M 150x6.0.02 GOST 10605-94;M 150x6.0;02;;;150.0;6.0
10605-94;Gajka M 150x6.0.02.019 GOST 10605-94;M 150x6.0;02;019;;150.0;6.0
10605-94;Gajka M 150x6.0.02.029 GOST 10605-94;M 150x6.0;02;029;;150.0;6.0
10605-94;Gajka M 150x6.0.02.019.01 GOST 10605-94;M 150x6.0;02;019.01;;150.0;6.0
10605-94;Gajka M 150x6.0.02.016 GOST 10605-94;M 150x6.0;02;016;;150.0;6.0
10605-94;Gajka M 150x6.0.02.019.06 GOST 10605-94;M 150x6.0;02;019.06;;150.0;6.0
10605-94;Gajka M 150x6.0.04 GOST 10605-94;M 150x6.0;04;;;150.0;6.0
10605-94;Gajka M 150x6.0.04.019 GOST 10605-94;M 150x6.0;04;019;;150.0;6.0
10605-94;Gajka M 150x6.0.04.029 GOST 10605-94;M 150x6.0;04;029;;150.0;6.0
10605-94;Gajka M 150x6.0.04.019.01 GOST 10605-94;M 150x6.0;04;019.01;;150.0;6.0
10605-94;Gajka M 150x6.0.04.016 GOST 10605-94;M 150x6.0;04;016;;150.0;6.0
10605-94;Gajka M 150x6.0.04.019.06 GOST 10605-94;M 150x6.0;04;019.06;;150.0;6.0
10605-94;Gajka M 150x6.0.05 GOST 10605-94;M 150x6.0;05;;;150.0;6.0
10605-94;Gajka M 150x6.0.05.019 GOST 10605-94;M 150x6.0;05;019;;150.0;6.0
10605-94;Gajka M 150x6.0.05.029 GOST 10605-94;M 150x6.0;05;029;;150.0;6.0
10605-94;Gajka M 150x6.0.05.019.01 GOST 10605-94;M 150x6.0;05;019.01;;150.0;6.0
10605-94;Gajka M 150x6.0.05.016 GOST 10605-94;M 150x6.0;05;016;;150.0;6.0
10605-94;Gajka M 150x6.0.05.019.06 GOST 10605-94;M 150x6.0;05;019.06;;150.0;6.0
10605-94;Gajka M 150x6.0.06 GOST 10605-94;M 150x6.0;06;;;150.0;6.0
10605-94;Gajka M 150x6.0.06.019 GOST 10605-94;M 150x6.0;06;019;;150.0;6.0
10605-94;Gajka M 150x6.0.06.029 GOST 10605-94;M 150x6.0;06;029;;150.0;6.0
10605-94;Gajka M 150x6.0.06.019.01 GOST 10605-94;M 150x6.0;06;019.01;;150.0;6.0
10605-94;Gajka M 150x6.0.06.016 GOST 10605-94;M 150x6.0;06;016;;150.0;6.0
10605-94;Gajka M 150x6.0.06.019.06 GOST 10605-94;M 150x6.0;06;019.06;;150.0;6.0
10605-94;Gajka M 150x6.0.07 GOST 10605-94;M 150x6.0;07;;;150.0;6.0
10605-94;Gajka M 150x6.0.07.019 GOST 10605-94;M 150x6.0;07;019;;150.0;6.0
10605-94;Gajka M 150x6.0.07.029 GOST 10605-94;M 150x6.0;07;029;;150.0;6.0
10605-94;Gajka M 150x6.0.07.019.01 GOST 10605-94;M 150x6.0;07;019.01;;150.0;6.0
10605-94;Gajka M 150x6.0.07.016 GOST 10605-94;M 150x6.0;07;016;;150.0;6.0
10605-94;Gajka M 150x6.0.07.019.06 GOST 10605-94;M 150x6.0;07;019.06;;150.0;6.0
10605-94;Gajka M 150x6.0.11.12X18H10T GOST 10605-94;M 150x6.0;11;;12X18H10T;150.0;6.0
10605-94;Gajka M 150x6.0.21.12X18H9T GOST 10605-94;M 150x6.0;21;;12X18H9T;150.0;6.0
10605-94;Gajka M 150x6.0.21.12X18H10T GOST 10605-94;M 150x6.0;21;;12X18H10T;150.0;6.0
10605-94;Gajka M 150x6.0.23.08X18H10T GOST 10605-94;M 150x6.0;23;;08X18H10T;150.0;6.0
10605-94;Gajka M 150x6.0.25.10X17H13M2T GOST 10605-94;M 150x6.0;25;;10X17H13M2T;150.0;6.0
