GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M6-A4-025;M6;A4-025;;A4;6.0;1
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-04;M8;04;;;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-05;M8;05;;;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-A2-035;M8;A2-035;;A2;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-A4-035;M8;A4-035;;A4;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-A2-025;M8;A2-025;;A2;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M8-A4-025;M8;A4-025;;A4;8.0;1.25
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-04;M10;04;;;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-05;M10;05;;;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-A2-035;M10;A2-035;;A2;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-A4-035;M10;A4-035;;A4;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-A2-025;M10;A2-025;;A2;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M10-A4-025;M10;A4-025;;A4;10.0;1.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-04;M12;04;;;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-05;M12;05;;;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-A2-035;M12;A2-035;;A2;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-A4-035;M12;A4-035;;A4;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-A2-025;M12;A2-025;;A2;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M12-A4-025;M12;A4-025;;A4;12.0;1.75
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-04;M16;04;;;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-05;M16;05;;;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-A2-035;M16;A2-035;;A2;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-A4-035;M16;A4-035;;A4;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-A2-025;M16;A2-025;;A2;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M16-A4-025;M16;A4-025;;A4;16.0;2
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-04;M20;04;;;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-05;M20;05;;;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-A2-035;M20;A2-035;;A2;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-A4-035;M20;A4-035;;A4;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-A2-025;M20;A2-025;;A2;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M20-A4-025;M20;A4-025;;A4;20.0;2.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-04;M24;04;;;24.0;3
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-05;M24;05;;;24.0;3
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-A2-035;M24;A2-035;;A2;24.0;3
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-A4-035;M24;A4-035;;A4;24.0;3
